,A,RpoE
SRX2436965,0.8926758418,-1.0345345316
SRX2436966,-2.7297138397,-1.0327132856
SRX2436967,-1.202350536,-0.4740828006
SRX2436969,-0.647761863,-0.5686232575
SRX2436970,-2.8905784861,-1.2318285968
SRX2436971,-1.8636438866,-0.6565228980000001
SRX2437029,-0.2977168899,0.1914726502
SRX2437030,-0.0588949977,-0.06630467300000001
SRX2437031,0.979404354,0.6023620234
SRX2437032,-0.4134838142,0.2442821632
SRX2437033,0.3782141511,0.1414805697
SRX2437034,0.9473205039,-1.13359406
SRX2437035,-2.053938569,-0.8010479342
SRX2437036,-2.4719341859,-0.7662062197
SRX2437037,2.4687946332,0.5656511108
SRX2437038,-2.8728658088000003,-1.1203262419
SRX2437039,1.3585255824,0.3950557695
SRX2437040,-1.8239212639,-0.6435961917
SRX2437041,0.3574323172,0.1446803023
SRX2437042,0.0754176052,0.10524120840000001
SRX2437043,3.1065916316,0.7482655409000001
SRX2437044,0.0565002645,0.2172664924
SRX4705203,3.5446767537,1.8461470161
SRX4705204,-2.0484607493,-0.3966725414
SRX4705205,-2.2034955122,-0.3409590135
SRX4705206,-1.6692625105999999,-0.0370287428
SRX4705207,-1.482872302,-0.383258531
SRX4705208,-1.8463874696,-0.5383512062
SRX4705209,-1.8909453487999999,-0.7085110333
SRX4705210,-5.047714934,-2.0571605039
SRX4705211,-5.2330208204,-1.7989885625
SRX4705212,-4.8764260432,-1.8866954013
SRX4705213,1.5878664409,0.1761569277
SRX4705214,-0.2721170926,-0.2076104875
SRX4705215,-0.7002756762,-0.1212531181
