,A,KdpE
abx_media__rpmi_cipro__1,-1.5658599244,-1.740542942
abx_media__rpmi_cipro__2,-0.9849928586000001,-1.526054932
abx_media__camhb_cipro__1,-2.8671442429000003,-1.595717101
abx_media__camhb_cipro__2,-3.1230467283,-1.757823981
hot_tale__42c_ale3_30c__1,-2.2694324117,-1.452016108
hot_tale__42c_ale3_30c__2,-2.1817388989,-1.6527607899999999
hot_tale__42c_ale3_37c__1,-1.509633789,-0.741084462
hot_tale__42c_ale3_37c__2,-1.2058616067,-0.355718042
hot_tale__42c_ale3_44c__1,2.2597745739,0.5005054
hot_tale__42c_ale3_44c__2,2.4562911147,0.392764692
hot_tale__hot_ale3_mid_30c__1,-2.3092180711,-0.8911755130000001
hot_tale__hot_ale3_mid_30c__2,-1.8636703794,-1.031249943
hot_tale__hot_ale3_mid_37c__1,-1.6020125188,-0.736257268
hot_tale__hot_ale3_mid_37c__2,-1.1942783328,-0.6702498130000001
hot_tale__hot_ale3_mid_44c__1,-0.052739271500000004,-0.361180218
hot_tale__hot_ale3_mid_44c__2,0.6278417688,0.068935201
hot_tale__hot_ale3_30c__1,0.091524453,-1.152598081
hot_tale__hot_ale3_30c__2,0.5747142009,-1.1274892140000001
hot_tale__hot_ale3_37c__1,0.1429177371,-0.5791232270000001
hot_tale__hot_ale3_37c__2,0.5282417576,-0.63454814
hot_tale__hot_ale3_44c__1,0.47699890450000004,-0.166718698
hot_tale__hot_ale3_44c__2,1.1576026883,-0.25851592700000003
hot_tale__hot_ale4_30c__1,-2.0061475738,-1.282735392
hot_tale__hot_ale4_30c__2,-2.0993830669,-1.352122309
hot_tale__hot_ale4_37c__1,-1.1589439750000001,-0.6008049280000001
hot_tale__hot_ale4_37c__2,-1.2397891783000001,-0.690728699
hot_tale__hot_ale4_44c__1,0.2409798113,0.28536495
hot_tale__hot_ale4_44c__2,0.2981952591,0.364074236
hot_tale__hot_ale8_30c__1,-2.0635399518,-1.077718215
hot_tale__hot_ale8_30c__2,-1.5712794374999999,-1.066883721
hot_tale__hot_ale8_37c__1,-1.1333687366,-0.396566529
hot_tale__hot_ale8_37c__2,-1.0034931195,-0.389364088
hot_tale__hot_ale8_44c__1,1.1496289089,0.565176293
hot_tale__hot_ale8_44c__2,0.5958914867,0.349322683
hot_tale__hot_ale9_mid_30c__1,-2.3924398312,-1.6796737529999999
hot_tale__hot_ale9_mid_30c__2,-1.9357463946000002,-0.997671752
hot_tale__hot_ale9_30c__1,-0.9460675954000001,-0.70954356
hot_tale__hot_ale9_30c__2,-1.5536101918,-1.2346656440000001
hot_tale__hot_ale9_mid_37c__1,-1.177665923,-0.601138766
hot_tale__hot_ale9_mid_37c__2,-1.5964508666000001,-0.511476218
hot_tale__hot_ale9_37c__1,0.3583110989,-0.6669927870000001
hot_tale__hot_ale9_37c__2,-0.045202726400000004,-0.822746207
hot_tale__hot_ale9_mid_44c__1,2.1763027474,0.26168505000000003
hot_tale__hot_ale9_mid_44c__2,1.9366186088,0.251982884
hot_tale__hot_ale9_44c__1,3.4924523128000002,0.563947539
hot_tale__hot_ale9_44c__2,3.4397475581,0.256230167
hot_tale__hot_ale10_30c__1,-0.3689274168,-1.187803342
hot_tale__hot_ale10_30c__2,0.2286391352,-1.093981863
hot_tale__hot_ale10_37c__1,-0.1056896527,-0.8550522570000001
hot_tale__hot_ale10_37c__2,-0.08627861540000001,-1.144023438
hot_tale__hot_ale10_44c__1,1.9055669024,0.430650723
hot_tale__hot_ale10_44c__2,2.2752392801,0.32006321200000004
hot_tale__hot_ale16_30c__1,-1.7706812385,-0.9948375730000001
hot_tale__hot_ale16_30c__2,-1.7061305184000002,-0.9297539840000001
hot_tale__hot_ale16_37c__1,-1.2471655462,-0.664776723
hot_tale__hot_ale16_37c__2,-0.9512817387,-0.5749973420000001
hot_tale__hot_ale16_44c__1,0.9284690721000001,0.616253892
hot_tale__hot_ale16_44c__2,1.1282774453,0.635478251
pdhr_ale__pdhR-13_51__1,-1.6986651256,-0.8392765270000001
pdhr_ale__pdhR-13_51__2,-1.4441097057,-1.017150762
pdhr_ale__pdhR-14_46__1,-0.9262890676000001,-0.736284248
pdhr_ale__pdhR-14_46__2,-0.2843158579,-0.69908592
pdhr_ale__pdhR-15_51__1,-1.2477316996,-0.84136697
pdhr_ale__pdhR-15_51__2,-1.4312135531,-0.9902012640000001
pdhr_ale__pdhR-16_49__1,-0.5977167281,-0.507919048
pdhr_ale__pdhR-16_49__2,0.41725540910000003,-0.47425982600000005
tcs__del_atoC_LiAcet__1,-2.3339350454,-1.10470489
tcs__del_atoC_LiAcet__2,-2.0183396436,-1.137216575
tcs__del_atoC_LiCl__1,-1.7718053521,-1.089678848
tcs__del_atoC_LiCl__2,-1.8778591462,-0.9128245610000001
tcs__del_atoC_m9__1,-2.1373639312,-0.876688051
tcs__del_atoC_m9__2,-1.7720714166,-1.147599016
tcs__del_baeR_etoh__1,-0.1247008669,-0.916065623
tcs__del_baeR_etoh__2,0.16221415250000001,-1.024996916
tcs__del_baeR_lb__1,0.4419274445,-0.6507188700000001
tcs__del_baeR_lb__2,0.5440484754,-0.5681336920000001
tcs__del_btsR_01xlb__1,3.4953782725,0.6595332650000001
tcs__del_btsR_01xlb__2,3.5221642187,0.7051825140000001
