,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X,rep9_idx,rep9_X,rep10_idx,rep10_X,rep11_idx,rep11_X,rep12_idx,rep12_X,rep13_idx,rep13_X,rep14_idx,rep14_X,rep15_idx,rep15_X,rep16_idx,rep16_X,rep17_idx,rep17_X,rep18_idx,rep18_X
292,mercury__hg_t30,-1.0952925301,0.21524063736705076,3.0,858.0,-0.9626093361,868.0,-0.9796316285000001,878.0,-1.3436366257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,mercury__hg_t60,-0.1333297979666667,0.5037469600722136,3.0,859.0,-0.7130019871000001,869.0,0.11471976,879.0,0.19829283320000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,mercury__pma_t10,-0.8216035189333334,0.0444996238875318,3.0,860.0,-0.7754675326,870.0,-0.8250801977000001,880.0,-0.8642628265000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,mercury__pma_t30,-0.9199765806666668,0.16834650428732292,3.0,861.0,-0.8822311098000001,871.0,-1.1039916943,881.0,-0.7737069379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,mercury__pma_t60,-0.3452574271,0.2391130147229524,3.0,862.0,-0.1686498348,872.0,-0.2497614611,882.0,-0.6173609854000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,ml_abx__az_lolcde,0.3879497469,0.11636701220378223,3.0,883.0,0.2536046533,884.0,0.4573196554,885.0,0.452924932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,ml_abx__b01,0.5696698367666667,0.15989110640582646,3.0,886.0,0.4509990297,887.0,0.5065181162,888.0,0.7514923644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,ml_abx__cro,0.067635338,0.20570262337158668,3.0,889.0,-0.1424285337,890.0,0.2686800158,891.0,0.0766545319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,ml_abx__chl,-0.9994650418333334,0.15861978805876203,3.0,892.0,-0.8406119733,893.0,-0.9999326366000001,894.0,-1.1578505156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,ml_abx__cip,0.19147540863333334,0.1949891964927423,3.0,895.0,0.0989300481,896.0,0.41550439380000004,897.0,0.059991784000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,ml_abx__clr,-0.8622026378,0.22572636681362204,3.0,898.0,-0.9712022284,899.0,-0.6026620914,900.0,-1.0127435936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,ml_abx__cst,0.1738197309666667,0.18562981598532638,3.0,901.0,0.0362748534,902.0,0.10022123320000001,903.0,0.3849631063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,ml_abx__ctrl,1.0408340855860843e-17,0.24866666703649234,6.0,904.0,-0.26729516200000003,905.0,-0.313345288,906.0,0.20199033760000001,907.0,0.255654804,908.0,0.17512024240000001,909.0,-0.052124934000000005,,,,,,,,,,,,,,,,,,,,,,,,
305,ml_abx__dox,-1.1126875616,0.28167091413628226,3.0,910.0,-1.1226930246,911.0,-0.8261472271,912.0,-1.3892224331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,ml_abx__glob,0.1704369993333333,0.18288526857924264,3.0,913.0,-0.0327708763,914.0,0.3218098122,915.0,0.2222720621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,ml_abx__lvx,0.03387328839999998,0.333532020269077,3.0,916.0,-0.34249162800000005,917.0,0.1513048044,918.0,0.2928066888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,ml_abx__mec,0.1794802181,0.3001687727601094,3.0,919.0,-0.14654840730000002,920.0,0.4443782572,921.0,0.24061080440000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,ml_abx__mem,-0.0669712618,0.18026163739638068,3.0,922.0,-0.2723681074,923.0,0.0649394834,924.0,0.0065148386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,ml_abx__nit,-0.8542035689,0.11601896722312324,3.0,925.0,-0.9731695985000001,926.0,-0.8480657845,927.0,-0.7413753237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,ml_abx__ntx,-0.14468065700000002,0.24876919608212997,2.0,928.0,0.0312257285,929.0,-0.32058704250000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,ml_abx__nor,0.2077018589,0.25882864809894957,3.0,930.0,-0.0777371993,931.0,0.42713955480000004,932.0,0.2737032212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,ml_abx__pb,0.24564151803333334,0.14009191071914387,3.0,933.0,0.0853441133,934.0,0.3069673626,935.0,0.34461307820000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,ml_abx__tmp,-0.4782480324666667,0.30254434060688395,3.0,936.0,-0.2576123247,937.0,-0.3539960857,938.0,-0.8231356870000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,mut_abx__del_mutS_000nor,0.0,0.28086205737295566,3.0,939.0,0.0416764478,940.0,-0.2993715263,941.0,0.2576950785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,mut_abx__del_mutS_125nor,-0.2276318390333333,0.10462793616292396,3.0,942.0,-0.2473421056,943.0,-0.3210028365,944.0,-0.114550575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,mut_abx__del_mutS_250nor,-0.1283703684,0.3264667037545091,3.0,945.0,0.0959863676,946.0,0.0218032217,947.0,-0.5029006945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,mut_abx__del_mutS_375nor,0.2148517892,0.2476578714186932,3.0,948.0,0.1214418134,949.0,0.0274833835,950.0,0.49563017070000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,mut_abx__del_mutS_500nor,0.3609917496333333,0.04705627130287337,3.0,951.0,0.35403737100000005,952.0,0.4111382022,953.0,0.3177996757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,mut_abx__del_mutS_625nor,0.6425385754,0.07950782473701425,3.0,954.0,0.6403927918,955.0,0.7230975723,956.0,0.5641253621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,mut_abx__del_mutS_750nor,0.7117038902666667,0.19927723145081028,3.0,957.0,0.6102744784,958.0,0.9412913744,959.0,0.583545818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,mut_abx__del_mutS_875nor,0.8805631131666667,0.34583664435417266,3.0,960.0,1.2034564413,961.0,0.9226057819000001,962.0,0.5156271163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,nit_yeaG__wt_Nminus,0.0,0.46762939770586776,2.0,963.0,0.3306639182,964.0,-0.3306639182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,nit_yeaG__wt_Nplus,1.44936502415,0.007364521580830556,2.0,965.0,1.4441575210000002,966.0,1.4545725273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,nit_yeaG__del_yeaG_Nminus_24h,0.6609260318333333,0.4239282062721357,3.0,967.0,0.2077074173,968.0,1.0477220728,969.0,0.7273486054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,nit_yeaG__del_yeaG_Nminus,-0.2552029883,0.1151170092915927,2.0,970.0,-0.1738029704,971.0,-0.3366030062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,nit_yeaG__del_yeaG_Nplus,1.13830330855,0.1490348416305145,2.0,972.0,1.2436868557,973.0,1.0329197614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,opex__amp,-0.44075119960000003,0.11850497945414801,3.0,974.0,-0.5228307633,975.0,-0.30489243720000003,976.0,-0.4945303983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,opex__bak_amp,-0.05579097703333332,0.345221351114826,3.0,977.0,-0.3299825146,978.0,-0.1692785912,979.0,0.33188817470000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,opex__bak_kan,0.011271679000000001,0.1192696346672353,3.0,980.0,0.0213935856,981.0,-0.11273634660000001,982.0,0.12515779800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,opex__bak_nor,-0.17188775373333334,0.19209880601324855,3.0,983.0,-0.3801965816,984.0,-0.1337448952,985.0,-0.0017217844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,opex__bak_rif,0.10558754200000002,0.3512487601751576,3.0,986.0,0.0501140345,987.0,0.48127214960000003,988.0,-0.2146235581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
