,A,RhaR,RhaS,ExuR,YdfH
ytf2__wt_glc__2,-0.2778813812,-0.39831386300000005,-0.544775866,0.253347814,-0.36446322800000003
ytf2__ybcM_glc__1,0.9765997693,0.619163934,-0.485225585,0.976173786,-0.8373926960000001
ytf2__ybcM_glc__2,1.0562337169,0.025560141,-0.43929898300000003,1.13022741,-0.714639982
ytf2__ydhB_glc__1,0.1370016645,-0.6195243460000001,-0.623278978,0.227238991,-0.565632805
ytf2__ydhB_glc__2,-0.6148265496,0.041714042,-0.272523883,0.219884407,-0.502838381
ytf2__yfeC_glc__1,0.5657446101,-0.112362716,-0.38384740300000003,0.289646985,-0.6067621860000001
ytf2__yfeC_glc__2,-0.3919879021,-0.511291603,-0.667146746,0.087593048,-0.507046248
ytf2__yciT_glc__1,-0.0110368555,0.37555973800000003,-0.188339225,0.12602628100000002,-0.512373702
ytf2__yciT_glc__2,0.2811771953,0.478306237,-0.14507462100000001,0.08276021700000001,-0.34766829400000004
ytf2__ydiZ_glc__1,1.059164109,0.074552986,-0.383046908,0.22310844500000002,-0.23611536800000002
ytf2__ydiZ_glc__2,1.2654756967,0.535101318,-0.37902849400000005,0.212093324,-0.22086484
ytf2__ynfL_glc__1,0.2093784841,0.09517966300000001,-0.21709929800000002,0.31388453800000005,-0.29671873400000004
ytf2__ynfL_glc__2,-0.0152173032,0.26379906000000003,-0.352661859,0.367809671,-0.21196710900000001
misc2__dellon_glc__1,0.44879074760000004,-0.312826612,-0.22591745800000002,1.11293171,-0.9389387950000001
misc2__dellon_glc__2,0.1736078366,-0.418232824,-0.707492878,1.035460695,-1.430126766
ytf3__wt_glc2__1,0.6442522684,0.17949288300000002,-0.24259332100000003,0.00928535,-0.270792548
ytf3__wt_glc2__2,0.6878912096,0.08354306800000001,0.052322238,0.14233139,-0.12284753500000001
ytf3__wt_pH7_lactate__1,0.2204671674,-0.7109668720000001,-0.5545291999999999,-0.075638333,-0.145501774
ytf3__wt_pH7_lactate__2,0.4304809309,-0.374738167,-0.40413774300000005,-0.130606721,-0.194788329
ytf3__wt_pH55_lactate__1,-0.7552894069,0.129959121,-0.258835,-0.06495903800000001,0.059162826
ytf3__wt_pH55_lactate__2,-1.2270127648,-0.028672865000000002,-0.38334367,-0.052273432,-0.07979776200000001
ytf3__wt_pH55_HCl__1,-0.7891735002,-0.144634704,-0.63704625,0.11576146100000001,0.144326712
ytf3__wt_pH55_HCl__2,-1.2941260991,0.262483758,-0.44423068200000004,0.156742252,0.013927629
ytf3__dyieP_pH7__1,0.2635023526,0.24102209,-0.49596635800000005,0.11199811400000001,-0.17117105600000002
ytf3__dyieP_pH7__2,0.2403020962,-0.221507802,-0.36963122200000004,0.100467477,-0.11302983100000001
ytf3__dyieP_pH55__1,1.0523898807,0.078443762,-0.716198234,-0.04935148,-0.12252027100000001
ytf3__dyieP_pH55__2,0.42687040540000004,0.155522296,0.11889158600000001,0.17492733400000002,0.02359217
