,A,CsqR
ecoli_00535,2.4555667279,0.6324024970000001
ecoli_00536,1.8360007134,-0.730585137
ecoli_00537,1.3030468848,-0.57821175
ecoli_00538,0.8355500557000001,-0.5307275810000001
ecoli_00539,1.5207479077000001,-0.559672854
ecoli_00540,0.6259533348,-0.75832058
ecoli_00541,0.7183660184,-0.7371958160000001
ecoli_00542,1.4808764551,-0.675141093
ecoli_00543,1.2633827494,-0.7725204910000001
ecoli_00544,0.8328284622000001,-0.888238018
ecoli_00545,1.0724935441,-1.031781323
ecoli_00546,0.7897774019,-1.424685778
ecoli_00547,0.2393899372,-1.31283321
ecoli_00548,0.0787090414,-1.549669927
ecoli_00549,0.6429905252,-1.561363904
ecoli_00550,1.0300656215,-1.253924493
ecoli_00551,0.6787793664,-1.423499359
ecoli_00552,0.44481872710000003,-1.147872193
ecoli_00553,-0.1512750985,-1.20862102
ecoli_00554,0.2532933567,-0.8783965460000001
ecoli_00555,0.14494530090000002,-0.809818174
ecoli_00556,0.84900327,-0.820059376
ecoli_00557,0.1757572546,-0.9545765370000001
ecoli_00558,1.5251407433000002,-0.009423347
ecoli_00559,1.6948370457,-0.269102167
ecoli_00560,2.6993149243,-0.035865091
ecoli_00561,1.0999387314,0.038256909000000006
ecoli_00562,2.3983405087,-0.10940582600000001
ecoli_00563,2.4668611641,0.132334591
ecoli_00564,0.0026972481,-0.116648416
ecoli_00565,0.1769163725,-0.13197097500000002
ecoli_00566,0.7042853783,-0.42531491
ecoli_00567,0.678146625,-0.653313259
ecoli_00568,0.5244552989,0.014138295
ecoli_00569,0.8067044974,0.21861692100000002
ecoli_00570,0.2870255932,0.047110148000000004
ecoli_00571,0.5184437182,0.046982932000000005
ecoli_00572,-0.5537344568,-0.936926915
ecoli_00573,-0.1030494418,-0.747438978
ecoli_00574,1.035135399,-0.9308327999999999
ecoli_00575,0.8958125088000001,-1.121483542
ecoli_00576,0.5420218281,-0.905668396
ecoli_00577,0.6775154515,-0.800260139
ecoli_00578,0.4235011274,-0.6466998380000001
ecoli_00579,0.170731493,0.047422326
ecoli_00580,0.9278732340000001,-0.771913425
ecoli_00581,0.8540512491000001,-1.2173795570000001
ecoli_00582,0.0014773996,0.10461658900000001
ecoli_00583,0.11435425610000001,-0.099812311
ecoli_00584,1.2772433283,-0.29848937000000003
ecoli_00585,1.1697478571,-0.322783985
ecoli_00586,1.5626006672,-0.027777775
ecoli_00587,1.8379841711,-0.001004593
ecoli_00588,0.5252823307,-0.146283085
ecoli_00589,0.8092828165,-0.0037951760000000004
ecoli_00590,-0.2674121293,-0.48452864300000004
ecoli_00591,-0.2598155153,-0.52694082
ecoli_00592,0.1264099651,-1.352324931
ecoli_00593,0.7098600764,-1.055044043
ecoli_00594,0.152551932,-1.035330553
ecoli_00595,0.8088452836000001,-0.8021462180000001
ecoli_00596,0.6841806064,-1.183278811
ecoli_00597,0.7184597665,-1.243766039
ecoli_00598,0.4743102087,-0.46418212000000003
ecoli_00599,-0.3137490752,-0.5932540590000001
ecoli_00600,1.8075785443,-0.646331553
ecoli_00601,1.7116871542,-0.268626364
ecoli_00602,1.3002396899,-0.50253983
ecoli_00603,1.6080462023000002,-0.41743165400000004
ecoli_00604,1.3403994594,-0.43232577600000005
ecoli_00605,1.1240407712,-0.384874724
ecoli_00606,0.265361548,-0.85279403
ecoli_00607,1.0177812624,-0.6473362570000001
ecoli_00608,0.4415318924,-0.944915028
ecoli_00609,-0.2330714898,-0.8396484230000001
ecoli_00610,-0.0056291405,-0.65906397
ecoli_00611,0.33393013660000004,-0.6742946040000001
ecoli_00612,1.6987342814000002,-0.500366693
ecoli_00613,0.7381563183000001,-0.776043895
