,A,Nac
csrA__wt_t15__2,5.6376536555,1.778914086
csrA__delcsrA_t00__2,1.1744069657,0.2111586853
csrA__delcsrA_t02_30__2,1.8176646119000002,0.7308439224000001
csrA__delcsrA_t05__2,1.3265854894,-0.4669245032
csrA__delcsrA_t10__2,5.0151277778,1.1512954234000001
csrA__delcsrA_t15__2,6.0062728639,2.2658742034
cstr_pfr__str_0005m__1,-0.5854237028,-0.4423919163
cstr_pfr__str_0010m__1,-1.725691935,-1.0974946203
cstr_pfr__str_0025m__1,-4.1127014888,-0.3044895321
cstr_pfr__str_0045m__1,-5.5607227553000005,-0.6363163376000001
cstr_pfr__str_0075m__1,-6.1090109447,-0.8040541477
cstr_pfr__str_0120m__1,-6.042160839,-0.7544031449
cstr_pfr__str_0210m__1,-7.5946473439,-1.0660246207
cstr_pfr__str_0330m__1,-7.8707500265,-1.0793681566
cstr_pfr__str_1500m__1,-8.2005572458,-1.1462496809
