,A,FecI,Crp,PdhR,Fur,HypT,Nac
abx_mega__amyc-d_dmso__6,-0.6340867094,0.4940374032,-1.2728116676,2.8750119271,1.5005765341,0.5428816590000001,-0.7066913786
abx_mega__dox_dmso__2,0.9931412700000001,0.5181042145,-0.025511662,-0.6416532500000001,0.49058279860000004,0.2011985028,-0.1358729271
abx_mega__teix_dmso__6,-0.0954885225,-0.9638387689000001,0.1480773849,-0.39564770450000003,-0.5617845917000001,-0.06850365750000001,0.5100602039000001
abx_mega__naoh-6__2,2.3570963106000002,-0.8765167171,0.1439389809,0.1878611425,0.28859365800000003,0.1850666632,-0.22567917640000001
abx_mega__inh_h2o__2,11.8798483407,4.0673698207,0.0779751018,0.1596236761,0.49805841980000004,-0.41863704150000003,-0.9551396578
abx_mega__chl_h2o__3,0.9585523791,-0.214913494,-2.8414442095,-0.8464006367,-0.7357423173000001,0.5356990769000001,-0.5739008254
abx_mega__nal_naoh__6,2.0704644945,-0.23373546450000002,0.0426535923,0.6296171002000001,0.1905704846,-0.1943332859,0.1511828928
abx_mega__chl_dmso__2,0.9337384542,-0.1655834801,-1.6022828696,-0.21805504280000002,0.4894669426,0.7617581933,-1.0966497324
abx_mega__rach_dmso__4,0.1100356076,-1.7093316330000001,-0.0800003088,-0.7590008223,0.0464077509,0.4353908242,2.0409041782
abx_mega__teix_dmso__7,0.11098609840000001,-0.7719467277000001,0.0001683552,-0.0032073790000000002,-0.1638455209,0.4114982385,1.0178561359
abx_mega__ceru_ethanol__1,2.3814554897,0.7765675695,0.1315329539,1.4435760144,0.2652531168,0.0811042813,0.7276275456
abx_mega__dmso-7__1,-0.7190213401000001,-0.862948421,-0.1486598298,-1.0260677785,-0.0643523617,0.5908057213,1.2851466629
abx_mega__naoh-6__3,1.9034466132999999,-0.22762307750000002,0.232671539,-0.6519718255,0.4487898696,0.27851429310000003,-0.3538792287
abx_mega__phos_ethanol__2,1.1651158079,-0.3676785521,0.2168248136,0.261166871,-0.1239980744,0.21140718830000002,0.6736876441
abx_mega__metro_dmso__3,-0.8955342190000001,-1.5677543368,-0.3791651303,0.1619025955,1.3081476157,0.3443299382,0.0540331953
abx_mega__van_dmso__4,-0.4885979579,-0.2212709881,-0.8353134788000001,-1.1021793901,1.4076040301,-0.7045378738,-0.10632785400000001
abx_mega__h2o-10__1,8.4939484374,2.31255907,-0.0202364792,0.023180969000000003,-0.5370945714,-0.0052580112,-1.018014162
abx_mega__h2o-10__2,6.5157689991000005,0.7490103638000001,-0.0607073754,0.0228896086,-0.6547982996,-0.1080964878,0.2862613476
abx_mega__dmso-6__3,-0.925906922,-0.4769697081,-0.2527744328,-1.3316720743000001,0.44247998860000004,0.6349552206,-0.2373925244
abx_mega__mem_dmso__1,3.7076029189,-0.0699573071,-0.1981004934,0.10431136960000001,-0.6125086075,-0.1572379211,1.1395579406
abx_mega__ethanol-8__2,0.4400009969,-0.8976726838,-0.021523506600000002,-1.1348177466,-0.20422094540000002,-0.3080131718,-0.1289235528
abx_mega__chl_h2o__4,1.3980177757,-2.2895339306,-2.6700349591,-0.5021852574,-0.9583442195,0.7438080637000001,-1.317645706
abx_mega__van_h2o__1,3.5199393829,0.5997480974,-0.9103162108,-0.8109298492,0.1071730481,-0.8831945634,-0.544656961
abx_mega__dcs_h2o__1,0.7825533799000001,-1.1529749177,0.0943710534,0.8947460851000001,-0.3003964322,0.15711904810000002,0.9927503863
abx_mega__rif_dmso__5,1.3269825639000001,-0.3194387615,-0.1829334597,-0.4245853972,0.2357032725,0.1836250968,0.19345892250000002
abx_mega__dox_dmso__3,2.7629847987,-0.8082863107,-0.3972091841,0.4786198345,0.0693949259,0.8137265499,0.5645217246
abx_mega__mem_dmso__2,5.2745487202,-0.1855792803,-0.2638287498,-0.47065052,0.0371632972,0.3511646833,0.048526004000000005
abx_mega__lvx_dmso__2,1.6835463675,-0.4791644259,0.0417388443,-1.3783743383,0.0265961863,-0.2543385937,0.8294417801
abx_mega__tet_h2o__2,-1.3356943822,0.4154350972,-2.2693012292,0.9010077183,0.3036734732,0.9469802535,0.6180819312
abx_mega__phos_h2o__5,3.944284017,-0.2355514437,-0.1972134109,1.7212183656,-0.4648872027,0.7099523405,1.1923505993
abx_mega__monac_dmso__1,4.259128946,0.3966005033,-0.8663395759,1.6380525906,1.1538115976,-0.5233169065000001,0.9550370105
abx_mega__str_h2o__3,8.3047512345,-0.1933768501,0.1259657223,-0.8634437747,-0.9291934891,-0.1068800684,-0.5115036049
abx_mega__zeocin_h2o__2,5.5295666176000005,2.3259477093,-0.6476176532,0.8500895152,-0.570691755,0.35349330090000003,1.9573468044000002
abx_mega__amyc-d_dmso__7,-0.9757240606,-0.43194522630000004,-1.42088019,2.7092636837,1.6509193769000001,0.8245156354000001,0.5861244136
abx_mega__fidax_dmso__1,0.3824918095,-1.1768485946,0.007690172800000001,0.332572566,-0.1991500789,0.1389197514,1.2100397691
abx_mega__h2o-1a__1,-0.3031660753,-0.2525859719,0.0575483496,-0.2097590615,0.0154779333,-0.132027204,-0.2608841934
abx_mega__dox_dmso__4,0.3922262623,-0.5853962519,0.2665585241,-0.6135971464000001,0.3500808745,0.3150863292,0.22369775520000001
abx_mega__lzd_dmso__2,4.0831976297,0.3952191514,-1.9463157999,2.3263255445,-0.0752501554,0.5405367647,-1.3118218891
abx_mega__tet_h2o__3,-1.8503215218,-1.3904017229,-1.5689931018,-1.6661178604,0.1823640506,-0.09155455750000001,-1.1133825584
abx_mega__dmso-1__2,-4.401099533,-1.9265390522999999,-0.0638843971,-0.7963523501,0.22165850820000002,0.10541955400000001,0.5938302618
abx_mega__sxt_dmso__2,7.2426950506,1.2085486404,-0.6176702001000001,0.6676015018,0.3020195341,-0.449489191,0.4713058231
abx_mega__tric_ethanol__2,3.9896364881,-0.8072504036,-0.058214080700000004,0.611818948,0.097195029,0.1313511996,-0.1718854407
abx_mega__teix_dmso__8,4.4880857655,0.030874433200000002,-0.3208467193,0.2941291088,-0.2056130554,-0.1145846059,0.4042925868
abx_mega__ramo_h2o__2,5.1984505671,0.134990894,-0.3043319677,0.29582476960000004,-0.3920706658,-0.4244190903,-0.4094901696
abx_mega__inh_h2o__3,4.2449391444,-1.2205917128000001,0.2263080572,0.4211354343,-0.5587581914,0.0225940134,0.6734751615
abx_mega__cst_h2o__3,3.6143719087,0.6964307414,-0.6604587882,1.092421801,0.1130672716,0.2461232825,0.8321887179
abx_mega__dmso-9__1,0.6708293591000001,-1.3076153171,0.1652363888,-0.9959728360000001,0.16881575040000002,0.2198303036,0.6142504334000001
abx_mega__ethanol-8__3,0.3398740032,-0.6602202874,0.073808526,-1.1785853659,-0.6207653771,-0.2690577648,0.0342886082
abx_mega__monac_dmso__2,3.3170168268999998,-0.2250929689,-1.4421129371,1.4194255879,1.4680549083,-0.4596510218,0.8492130701
abx_mega__dmso-9__2,0.2382149425,-0.9286231993,0.0124821121,-0.5654526825,-0.0448960912,0.2422919862,1.1462558974000001
abx_mega__metro_dmso__4,-0.789255989,0.2609295101,-0.0624036472,-0.0817218317,1.2286839221,0.5147844767,-0.13498573860000002
abx_mega__ctx_h2o__4,5.6802780243,-0.1423431041,-0.3304413054,0.2844940982,-0.4490090364,0.0021869756,0.8347846694000001
abx_mega__zeocin_h2o__3,5.9156579846,1.6714587128,-0.8187488844,0.3247935293,-0.7208105544000001,0.6336767168,1.5732683526
abx_mega__bacit_h2o__5,4.5922882025,1.7115301071,-0.6212632720000001,0.0287174311,0.3947796242,-0.0562107648,0.15796097280000002
